,(1),(2),(3),(4),(5)
Constant,559.32*** (0.07),360.65*** (0.07),360.75*** (0.08),352.73*** (0.12),356.21*** (0.17)
Public School,-61.41*** (0.08),-10.80*** (0.05),-10.81*** (0.05),-6.98*** (0.05),-6.89*** (0.05)
Number of Correct Answers,,13.17*** (0.00),13.16*** (0.00),12.93*** (0.00),12.88*** (0.00)
Exam Code Controls,,,Yes,Yes,Yes
Income Controls,,,,Yes,Yes
Sex Control,,,,,Yes
Race Controls,,,,,Yes
R²,0.12,0.74,0.74,0.75,0.75
N,"4,423,760","4,423,760","4,423,760","4,423,760","4,423,760"
